ride_id,driver_id,distance_km,fare_usd,ride_type,city,timestamp
100,1034,14.28,24.58,standard,Berlin,2025-01-01 01:39:00
101,1031,22.47,33.6,standard,Nairobi,2025-01-01 01:40:00
102,1036,14.08,24.14,pool,Lima,2025-01-01 01:41:00
103,1004,5.6,30.86,premium,Seoul,2025-01-01 01:42:00
104,1028,28.5,28.49,standard,Nairobi,2025-01-01 01:43:00
105,1013,19.63,38.49,pool,Nairobi,2025-01-01 01:44:00
106,1001,7.23,63.04,pool,Lima,2025-01-01 01:45:00
107,1026,18.3,62.15,pool,Berlin,2025-01-01 01:46:00
108,1021,7.08,17.08,premium,Seoul,2025-01-01 01:47:00
109,1020,12.66,21.59,standard,Toronto,2025-01-01 01:48:00
110,1042,18.26,29.07,premium,Seoul,2025-01-01 01:49:00
111,1017,18.7,52.63,pool,Lima,2025-01-01 01:50:00
112,1047,4.13,56.5,pool,Nairobi,2025-01-01 01:51:00
113,1017,6.58,56.5,premium,Seoul,2025-01-01 01:52:00
114,1004,14.29,20.13,pool,Lima,2025-01-01 01:53:00
115,1010,15.97,20.62,standard,Lima,2025-01-01 01:54:00
116,1046,25.86,74.13,premium,Nairobi,2025-01-01 01:55:00
117,1039,17.73,46.16,pool,Seoul,2025-01-01 01:56:00
118,1035,24.53,58.33,pool,Lima,2025-01-01 01:57:00
119,1021,11.72,19.29,standard,Seoul,2025-01-01 01:58:00
120,1003,6.44,48.33,pool,Nairobi,2025-01-01 01:59:00
121,1035,9.11,25.57,pool,Toronto,2025-01-01 02:00:00
122,1017,1.72,38.96,premium,Berlin,2025-01-01 02:01:00
123,1006,11.56,36.06,pool,Seoul,2025-01-01 02:02:00
124,1040,19.43,65.15,premium,Nairobi,2025-01-01 02:03:00
125,1049,25.42,30.19,premium,Lima,2025-01-01 02:04:00
126,1001,7.81,56.72,premium,Toronto,2025-01-01 02:05:00
127,1039,21.47,26.59,standard,Lima,2025-01-01 02:06:00
128,1036,22.82,47.38,standard,Lima,2025-01-01 02:07:00
129,1008,21.05,64.94,premium,Toronto,2025-01-01 02:08:00
130,1005,28.94,21.33,standard,Seoul,2025-01-01 02:09:00
131,1037,17.82,34.25,standard,Nairobi,2025-01-01 02:10:00
132,1027,13.86,73.39,pool,Berlin,2025-01-01 02:11:00
133,1029,16.57,62.89,pool,Lima,2025-01-01 02:12:00
134,1050,1.14,66.84,standard,Nairobi,2025-01-01 02:13:00
135,1047,1.19,47.08,standard,Nairobi,2025-01-01 02:14:00
136,1021,15.31,31.16,premium,Seoul,2025-01-01 02:15:00
137,1023,11.92,14.95,premium,Lima,2025-01-01 02:16:00
138,1010,4.91,65.58,standard,Berlin,2025-01-01 02:17:00
139,1000,11.27,13.04,pool,Nairobi,2025-01-01 02:18:00
140,1049,19.6,70.33,premium,Seoul,2025-01-01 02:19:00
141,1016,16.16,70.04,pool,Lima,2025-01-01 02:20:00
142,1023,12.5,71.46,pool,Toronto,2025-01-01 02:21:00
143,1043,23.33,59.57,pool,Berlin,2025-01-01 02:22:00
144,1012,2.55,51.32,standard,Toronto,2025-01-01 02:23:00
145,1004,26.7,32.19,standard,Toronto,2025-01-01 02:24:00
146,1034,20.69,63.23,pool,Seoul,2025-01-01 02:25:00
147,1004,13.17,45.66,standard,Berlin,2025-01-01 02:26:00
148,1044,21.06,40.83,premium,Toronto,2025-01-01 02:27:00
149,1034,28.24,14.46,premium,Seoul,2025-01-01 02:28:00
150,1028,19.99,13.33,premium,Seoul,2025-01-01 02:29:00
151,1023,20.38,52.21,premium,Berlin,2025-01-01 02:30:00
152,1017,21.36,14.72,standard,Nairobi,2025-01-01 02:31:00
153,1049,27.55,54.15,pool,Lima,2025-01-01 02:32:00
154,1021,26.79,35.45,standard,Berlin,2025-01-01 02:33:00
155,1044,9.1,13.99,pool,Seoul,2025-01-01 02:34:00
156,1033,1.65,44.29,premium,Lima,2025-01-01 02:35:00
157,1035,9.06,60.34,pool,Seoul,2025-01-01 02:36:00
158,1014,11.56,74.29,pool,Berlin,2025-01-01 02:37:00
159,1002,8.18,22.36,pool,Toronto,2025-01-01 02:38:00
160,1019,14.26,32.41,premium,Toronto,2025-01-01 02:39:00
161,1019,28.2,38.91,standard,Toronto,2025-01-01 02:40:00
162,1018,6.49,39.09,standard,Seoul,2025-01-01 02:41:00
163,1048,12.06,21.5,standard,Berlin,2025-01-01 02:42:00
164,1043,25.16,28.09,standard,Berlin,2025-01-01 02:43:00
165,1030,4.8,11.25,standard,Seoul,2025-01-01 02:44:00
166,1050,11.22,45.06,premium,Seoul,2025-01-01 02:45:00
167,1015,16.98,74.75,standard,Toronto,2025-01-01 02:46:00
168,1032,23.31,13.7,standard,Toronto,2025-01-01 02:47:00
169,1024,25.99,55.42,premium,Seoul,2025-01-01 02:48:00
170,1043,8.42,41.93,premium,Berlin,2025-01-01 02:49:00
171,1019,28.62,27.95,premium,Berlin,2025-01-01 02:50:00
172,1023,13.61,28.3,premium,Berlin,2025-01-01 02:51:00
173,1050,4.8,74.04,standard,Nairobi,2025-01-01 02:52:00
174,1009,5.61,12.59,pool,Nairobi,2025-01-01 02:53:00
175,1007,13.68,46.2,premium,Lima,2025-01-01 02:54:00
176,1013,24.54,42.6,standard,Berlin,2025-01-01 02:55:00
177,1034,3.0,71.06,premium,Seoul,2025-01-01 02:56:00
178,1012,7.31,19.24,standard,Toronto,2025-01-01 02:57:00
179,1045,24.25,7.07,pool,Nairobi,2025-01-01 02:58:00
180,1050,24.88,67.04,premium,Toronto,2025-01-01 02:59:00
181,1027,6.8,27.75,standard,Seoul,2025-01-01 03:00:00
182,1042,2.63,33.65,pool,Seoul,2025-01-01 03:01:00
183,1042,19.97,13.39,premium,Nairobi,2025-01-01 03:02:00
184,1017,24.02,20.83,standard,Nairobi,2025-01-01 03:03:00
185,1017,2.44,20.82,pool,Nairobi,2025-01-01 03:04:00
186,1012,16.16,52.72,premium,Seoul,2025-01-01 03:05:00
187,1011,5.11,14.43,premium,Nairobi,2025-01-01 03:06:00
188,1021,18.43,18.35,pool,Lima,2025-01-01 03:07:00
189,1043,4.26,33.12,standard,Berlin,2025-01-01 03:08:00
190,1030,4.82,33.09,pool,Nairobi,2025-01-01 03:09:00
191,1049,16.68,8.42,premium,Seoul,2025-01-01 03:10:00
192,1017,28.46,74.89,premium,Toronto,2025-01-01 03:11:00
193,1027,1.83,63.93,premium,Toronto,2025-01-01 03:12:00
194,1038,3.88,59.5,premium,Berlin,2025-01-01 03:13:00
195,1018,6.86,54.14,premium,Seoul,2025-01-01 03:14:00
196,1001,24.63,32.74,standard,Berlin,2025-01-01 03:15:00
197,1030,7.97,51.75,standard,Toronto,2025-01-01 03:16:00
198,1038,8.89,63.8,premium,Lima,2025-01-01 03:17:00
199,1030,13.45,55.3,standard,Berlin,2025-01-01 03:18:00
200,1009,25.85,66.84,pool,Lima,2025-01-01 03:19:00
201,1026,9.13,59.46,premium,Nairobi,2025-01-01 03:20:00
202,1050,14.68,56.23,standard,Seoul,2025-01-01 03:21:00
203,1046,14.77,68.8,pool,Toronto,2025-01-01 03:22:00
204,1047,15.49,60.62,pool,Seoul,2025-01-01 03:23:00
205,1047,13.93,28.26,standard,Berlin,2025-01-01 03:24:00
206,1025,24.35,40.37,standard,Seoul,2025-01-01 03:25:00
207,1029,6.8,11.59,premium,Berlin,2025-01-01 03:26:00
208,1035,15.63,34.34,standard,Toronto,2025-01-01 03:27:00
209,1020,4.8,49.8,pool,Seoul,2025-01-01 03:28:00
210,1027,26.27,20.16,premium,Seoul,2025-01-01 03:29:00
211,1004,13.32,45.38,pool,Nairobi,2025-01-01 03:30:00
212,1005,29.94,28.33,pool,Nairobi,2025-01-01 03:31:00
213,1019,20.24,21.25,premium,Seoul,2025-01-01 03:32:00
214,1001,6.92,30.19,premium,Lima,2025-01-01 03:33:00
215,1042,27.82,46.6,premium,Berlin,2025-01-01 03:34:00
216,1044,9.51,37.51,pool,Seoul,2025-01-01 03:35:00
217,1021,19.51,36.16,pool,Seoul,2025-01-01 03:36:00
218,1025,23.19,59.27,standard,Nairobi,2025-01-01 03:37:00
219,1034,4.0,49.96,pool,Berlin,2025-01-01 03:38:00
220,1000,6.34,45.95,standard,Berlin,2025-01-01 03:39:00
221,1007,13.37,13.02,premium,Seoul,2025-01-01 03:40:00
222,1001,11.4,6.39,standard,Lima,2025-01-01 03:41:00
223,1016,10.16,31.09,standard,Lima,2025-01-01 03:42:00
224,1048,8.84,13.48,pool,Berlin,2025-01-01 03:43:00
225,1014,11.46,50.73,pool,Lima,2025-01-01 03:44:00
226,1049,29.47,64.91,pool,Berlin,2025-01-01 03:45:00
227,1002,14.3,56.62,premium,Lima,2025-01-01 03:46:00
228,1002,14.28,36.08,standard,Toronto,2025-01-01 03:47:00
229,1028,8.26,63.57,pool,Nairobi,2025-01-01 03:48:00
230,1035,6.5,55.05,pool,Lima,2025-01-01 03:49:00
231,1033,8.47,41.49,pool,Seoul,2025-01-01 03:50:00
232,1043,26.68,47.37,pool,Berlin,2025-01-01 03:51:00
233,1010,26.7,17.72,standard,Nairobi,2025-01-01 03:52:00
234,1043,5.95,6.4,standard,Berlin,2025-01-01 03:53:00
235,1048,12.5,69.36,premium,Berlin,2025-01-01 03:54:00
236,1000,17.83,72.68,pool,Berlin,2025-01-01 03:55:00
237,1033,17.05,40.63,standard,Nairobi,2025-01-01 03:56:00
238,1023,6.84,45.54,standard,Berlin,2025-01-01 03:57:00
239,1024,2.79,60.27,standard,Berlin,2025-01-01 03:58:00
240,1029,24.1,11.95,pool,Lima,2025-01-01 03:59:00
241,1011,4.77,55.47,standard,Seoul,2025-01-01 04:00:00
242,1039,12.53,60.65,premium,Toronto,2025-01-01 04:01:00
243,1045,23.11,21.64,premium,Nairobi,2025-01-01 04:02:00
244,1014,20.87,44.49,premium,Seoul,2025-01-01 04:03:00
245,1020,12.84,61.3,standard,Seoul,2025-01-01 04:04:00
246,1000,24.18,71.33,standard,Toronto,2025-01-01 04:05:00
247,1001,29.8,33.91,premium,Lima,2025-01-01 04:06:00
248,1009,14.92,15.67,pool,Toronto,2025-01-01 04:07:00
249,1021,26.66,55.96,standard,Nairobi,2025-01-01 04:08:00
250,1038,16.11,47.99,pool,Toronto,2025-01-01 04:09:00
251,1039,12.26,39.5,premium,Berlin,2025-01-01 04:10:00
252,1030,29.7,32.39,premium,Seoul,2025-01-01 04:11:00
253,1039,23.39,6.96,pool,Nairobi,2025-01-01 04:12:00
254,1028,4.93,69.43,pool,Berlin,2025-01-01 04:13:00
255,1005,16.69,31.73,premium,Nairobi,2025-01-01 04:14:00
256,1048,12.0,8.15,premium,Nairobi,2025-01-01 04:15:00
257,1041,15.37,12.24,premium,Toronto,2025-01-01 04:16:00
258,1035,22.91,46.3,pool,Toronto,2025-01-01 04:17:00
259,1013,10.79,7.49,pool,Lima,2025-01-01 04:18:00
260,1014,18.43,58.48,premium,Berlin,2025-01-01 04:19:00
261,1033,7.91,56.98,standard,Lima,2025-01-01 04:20:00
262,1036,13.85,5.34,pool,Lima,2025-01-01 04:21:00
263,1023,26.79,50.1,premium,Lima,2025-01-01 04:22:00
264,1043,22.37,26.45,premium,Nairobi,2025-01-01 04:23:00
265,1030,11.52,25.35,pool,Nairobi,2025-01-01 04:24:00
266,1024,9.07,64.94,pool,Lima,2025-01-01 04:25:00
267,1026,18.49,10.0,standard,Toronto,2025-01-01 04:26:00
268,1030,14.78,34.19,premium,Seoul,2025-01-01 04:27:00
269,1043,29.64,71.83,pool,Berlin,2025-01-01 04:28:00
270,1043,9.59,11.06,pool,Toronto,2025-01-01 04:29:00
271,1048,27.7,47.52,pool,Seoul,2025-01-01 04:30:00
272,1003,7.8,23.05,premium,Nairobi,2025-01-01 04:31:00
273,1046,24.24,21.08,pool,Lima,2025-01-01 04:32:00
274,1016,26.1,28.62,standard,Toronto,2025-01-01 04:33:00
275,1035,6.48,54.88,premium,Nairobi,2025-01-01 04:34:00
276,1041,13.87,34.31,standard,Berlin,2025-01-01 04:35:00
277,1001,21.62,55.04,premium,Berlin,2025-01-01 04:36:00
278,1022,12.95,69.34,premium,Lima,2025-01-01 04:37:00
279,1031,4.12,68.9,premium,Seoul,2025-01-01 04:38:00
280,1003,23.26,42.51,pool,Nairobi,2025-01-01 04:39:00
281,1026,15.11,22.94,pool,Nairobi,2025-01-01 04:40:00
282,1005,6.35,49.22,pool,Lima,2025-01-01 04:41:00
283,1015,2.49,11.47,premium,Seoul,2025-01-01 04:42:00
284,1033,16.1,28.96,standard,Berlin,2025-01-01 04:43:00
285,1046,9.48,26.21,premium,Lima,2025-01-01 04:44:00
286,1044,24.59,71.73,premium,Berlin,2025-01-01 04:45:00
287,1029,5.57,44.21,pool,Seoul,2025-01-01 04:46:00
288,1034,1.48,32.44,premium,Lima,2025-01-01 04:47:00
289,1004,27.32,24.78,premium,Seoul,2025-01-01 04:48:00
290,1023,13.11,42.05,premium,Seoul,2025-01-01 04:49:00
291,1031,25.76,42.15,premium,Nairobi,2025-01-01 04:50:00
292,1013,17.54,65.13,standard,Toronto,2025-01-01 04:51:00
293,1044,26.55,39.92,pool,Lima,2025-01-01 04:52:00
294,1048,28.21,73.25,standard,Seoul,2025-01-01 04:53:00
295,1015,3.45,8.58,pool,Toronto,2025-01-01 04:54:00
296,1033,9.09,47.51,premium,Lima,2025-01-01 04:55:00
297,1017,6.31,34.7,standard,Berlin,2025-01-01 04:56:00
298,1005,28.74,26.28,premium,Lima,2025-01-01 04:57:00
299,1035,21.15,39.12,premium,Nairobi,2025-01-01 04:58:00
300,1043,27.84,74.81,standard,Toronto,2025-01-01 04:59:00
301,1040,29.57,32.85,standard,Lima,2025-01-01 05:00:00
302,1041,23.96,70.81,standard,Seoul,2025-01-01 05:01:00
303,1042,26.35,42.25,premium,Lima,2025-01-01 05:02:00
304,1022,28.28,32.44,premium,Seoul,2025-01-01 05:03:00
305,1046,18.67,10.06,standard,Seoul,2025-01-01 05:04:00
306,1036,24.77,11.21,premium,Lima,2025-01-01 05:05:00
307,1031,29.26,65.55,standard,Seoul,2025-01-01 05:06:00
308,1021,14.67,14.34,standard,Berlin,2025-01-01 05:07:00
309,1050,7.29,25.21,premium,Toronto,2025-01-01 05:08:00
310,1038,20.3,30.89,premium,Seoul,2025-01-01 05:09:00
311,1043,2.61,9.93,standard,Seoul,2025-01-01 05:10:00
312,1032,9.97,19.33,pool,Seoul,2025-01-01 05:11:00
313,1025,11.93,20.75,premium,Seoul,2025-01-01 05:12:00
314,1003,24.34,34.9,standard,Nairobi,2025-01-01 05:13:00
315,1014,1.69,14.6,pool,Berlin,2025-01-01 05:14:00
316,1029,10.33,47.69,standard,Lima,2025-01-01 05:15:00
317,1025,9.89,37.73,standard,Nairobi,2025-01-01 05:16:00
318,1005,20.21,53.48,premium,Lima,2025-01-01 05:17:00
319,1043,26.38,19.09,pool,Lima,2025-01-01 05:18:00
320,1017,14.93,21.95,premium,Berlin,2025-01-01 05:19:00
321,1045,25.47,37.03,pool,Nairobi,2025-01-01 05:20:00
322,1036,13.24,32.95,standard,Berlin,2025-01-01 05:21:00
323,1002,15.57,27.74,pool,Berlin,2025-01-01 05:22:00
324,1006,10.31,14.76,premium,Berlin,2025-01-01 05:23:00
325,1008,6.69,39.88,pool,Seoul,2025-01-01 05:24:00
326,1048,26.82,31.05,pool,Nairobi,2025-01-01 05:25:00
327,1013,18.47,31.53,premium,Lima,2025-01-01 05:26:00
328,1021,8.78,60.68,pool,Berlin,2025-01-01 05:27:00
329,1049,16.62,8.7,premium,Seoul,2025-01-01 05:28:00
330,1039,12.74,18.39,standard,Seoul,2025-01-01 05:29:00
331,1009,2.07,71.96,standard,Seoul,2025-01-01 05:30:00
332,1020,21.21,29.28,standard,Toronto,2025-01-01 05:31:00
333,1036,26.17,9.37,pool,Seoul,2025-01-01 05:32:00
334,1041,18.65,21.11,premium,Toronto,2025-01-01 05:33:00
335,1002,5.28,10.22,pool,Lima,2025-01-01 05:34:00
336,1019,13.17,73.32,standard,Toronto,2025-01-01 05:35:00
337,1040,6.9,26.46,standard,Toronto,2025-01-01 05:36:00
338,1039,5.94,16.64,standard,Nairobi,2025-01-01 05:37:00
339,1029,9.53,12.11,premium,Seoul,2025-01-01 05:38:00
340,1011,26.98,62.58,standard,Berlin,2025-01-01 05:39:00
341,1047,25.45,44.15,pool,Lima,2025-01-01 05:40:00
342,1021,24.02,68.03,pool,Toronto,2025-01-01 05:41:00
343,1031,27.91,32.19,pool,Berlin,2025-01-01 05:42:00
344,1034,4.13,34.55,pool,Seoul,2025-01-01 05:43:00
345,1039,7.35,41.61,pool,Nairobi,2025-01-01 05:44:00
346,1002,2.26,49.04,premium,Seoul,2025-01-01 05:45:00
347,1006,1.12,41.21,standard,Lima,2025-01-01 05:46:00
348,1031,19.6,22.55,pool,Seoul,2025-01-01 05:47:00
349,1018,12.85,44.0,pool,Lima,2025-01-01 05:48:00
350,1006,17.4,71.18,pool,Nairobi,2025-01-01 05:49:00
351,1011,26.19,44.07,standard,Nairobi,2025-01-01 05:50:00
352,1001,9.31,35.63,pool,Seoul,2025-01-01 05:51:00
353,1002,8.09,10.07,premium,Berlin,2025-01-01 05:52:00
354,1034,24.82,73.93,standard,Nairobi,2025-01-01 05:53:00
355,1042,1.72,6.49,premium,Lima,2025-01-01 05:54:00
356,1001,27.85,5.5,premium,Berlin,2025-01-01 05:55:00
357,1028,11.06,28.41,premium,Toronto,2025-01-01 05:56:00
358,1036,1.97,69.57,premium,Lima,2025-01-01 05:57:00
359,1038,7.29,29.15,pool,Toronto,2025-01-01 05:58:00
360,1018,3.35,68.83,standard,Toronto,2025-01-01 05:59:00
361,1013,25.5,65.75,pool,Nairobi,2025-01-01 06:00:00
362,1030,2.61,29.48,standard,Seoul,2025-01-01 06:01:00
363,1038,2.55,44.27,pool,Nairobi,2025-01-01 06:02:00
364,1048,18.83,31.34,premium,Berlin,2025-01-01 06:03:00
365,1000,7.09,65.9,standard,Lima,2025-01-01 06:04:00
366,1047,10.7,53.32,standard,Seoul,2025-01-01 06:05:00
367,1023,23.8,53.12,premium,Berlin,2025-01-01 06:06:00
368,1042,13.34,47.65,pool,Toronto,2025-01-01 06:07:00
369,1012,22.15,48.75,standard,Toronto,2025-01-01 06:08:00
370,1044,9.17,54.24,pool,Nairobi,2025-01-01 06:09:00
371,1022,4.8,66.01,pool,Nairobi,2025-01-01 06:10:00
372,1039,2.97,25.59,pool,Toronto,2025-01-01 06:11:00
373,1004,25.31,16.56,standard,Berlin,2025-01-01 06:12:00
374,1034,4.54,28.31,standard,Toronto,2025-01-01 06:13:00
375,1011,3.28,59.87,premium,Nairobi,2025-01-01 06:14:00
376,1019,5.55,64.95,pool,Berlin,2025-01-01 06:15:00
377,1016,16.12,33.51,standard,Seoul,2025-01-01 06:16:00
378,1049,20.96,43.69,pool,Toronto,2025-01-01 06:17:00
379,1044,15.33,60.88,premium,Nairobi,2025-01-01 06:18:00
380,1026,19.0,58.62,standard,Nairobi,2025-01-01 06:19:00
381,1017,15.42,59.24,premium,Seoul,2025-01-01 06:20:00
382,1032,22.59,41.75,premium,Lima,2025-01-01 06:21:00
383,1047,18.5,51.18,pool,Seoul,2025-01-01 06:22:00
384,1018,6.1,14.24,pool,Seoul,2025-01-01 06:23:00
385,1016,10.74,41.75,pool,Lima,2025-01-01 06:24:00
386,1019,29.81,6.09,premium,Seoul,2025-01-01 06:25:00
387,1028,14.01,36.9,pool,Lima,2025-01-01 06:26:00
388,1024,20.65,12.35,pool,Lima,2025-01-01 06:27:00
389,1033,6.0,66.72,standard,Nairobi,2025-01-01 06:28:00
390,1004,20.6,63.66,standard,Berlin,2025-01-01 06:29:00
391,1006,21.24,46.56,premium,Seoul,2025-01-01 06:30:00
392,1028,5.65,69.83,pool,Berlin,2025-01-01 06:31:00
393,1033,28.3,13.98,premium,Toronto,2025-01-01 06:32:00
394,1045,12.43,53.62,standard,Seoul,2025-01-01 06:33:00
395,1043,11.04,34.06,premium,Seoul,2025-01-01 06:34:00
396,1047,20.66,54.65,standard,Lima,2025-01-01 06:35:00
397,1018,27.69,58.91,pool,Lima,2025-01-01 06:36:00
398,1016,25.31,70.32,standard,Berlin,2025-01-01 06:37:00
399,1021,17.3,71.46,standard,Nairobi,2025-01-01 06:38:00
400,1041,2.58,42.91,pool,Nairobi,2025-01-01 06:39:00
401,1004,15.09,69.08,pool,Toronto,2025-01-01 06:40:00
402,1037,19.0,34.78,pool,Seoul,2025-01-01 06:41:00
403,1041,25.26,55.6,pool,Nairobi,2025-01-01 06:42:00
404,1038,6.86,42.09,pool,Berlin,2025-01-01 06:43:00
405,1037,14.51,65.38,standard,Lima,2025-01-01 06:44:00
406,1024,19.59,15.83,standard,Toronto,2025-01-01 06:45:00
407,1021,20.96,58.13,pool,Seoul,2025-01-01 06:46:00
408,1046,2.34,64.44,pool,Nairobi,2025-01-01 06:47:00
409,1049,26.4,55.46,premium,Toronto,2025-01-01 06:48:00
